ἀδικία (adikia)
αἷμα (haima)
αἵρεσις (hairesis)
αἰσχροκερδής (aischrokerdēs)
αἰσχρολογία (aischrologia)
αἰσχρότης (aischrotēs)
ἀκαθαρσία (akatharsia)
ἀκάθαρτος (akathartos)
ἀκαταστασία (akatastasia)
ἀκρατής (akratēs)
ἀλαζών (alazōn)
ἀλίσγημα εἴδωλον (alisgēma eidōlon)
ἁμαρτωλός (hamartōlos)
ἀνδραποδιστής (andrapodistēs)
ἀνδροφόνος (androphonos)
ἀνελεήμων (aneleēmōn)
ἀνήμερος (anēmeros)
ἀνόητος (anoētos)
ἄνομος (anomos)
ἀνόσιος (anosios)
ἀνυπότακτος (anypotaktos)
ἀπειθής (apeithēs)
ἄπιστος (apistos)
ἅρπαξ (harpax)
ἀρσενοκοίτης (arsenokoitēs)
ἀσεβής (asebēs)
ἀσέλγεια (aselgeia)
ἄσπονδος (aspondos)
ἄστοργος (astorgos)
ἀσύνετος (asynetos)
ἀσύνθετος (asynthetos)
αὐθάδης (authadēs)
ἀφιλάγαθος (aphilagathos)
ἀφροσύνη (aphrosynē)
ἀχάριστος (acharistos)
βδέλυγμα (bdelygma)
βδελύσσω (bdelyssō)
βέβηλος (bebēlos)
βλασφημία (blasphēmia)
βλάσφημος (blasphēmos)
γονεύς ἀπειθής (goneus apeithēs)
δαιμόνιον (daimonion)
δειλός (deilos)
διάβολος (diabolos)
δίλογος (dilogos)
διχοστασία (dichostasia)
διώκτης (diōktēs)
δόλος (dolos)
εἰδωλόθυτος (eidōlothytos)
εἰδωλολάτρης (eidōlolatrēs)
εἰδωλολατρία (eidōlolatria)
εἴδωλον (eidōlon)
ἐπιθυμία (epithymia)
ἐπίορκος (epiorkos)
ἐριθεία (eritheia)
ἔρις (eris)
εὐτραπελία (eutrapelia)
ἐφευρετής κακός (epheuretēs kakos)
ἔχθρα (echthra)
ζῆλος (zēlos)
ζήτησις (zētēsis)
ἡδονή (hēdonē)
θεοστυγής (theostygēs)
θυμός (thymos)
κακία (kakia)
κακοήθεια (kakoētheia)
καταλαλιά (katalalia)
κατάλαλος (katalalos)
κλέμμα (klemma)
κλέπτης (kleptēs)
κλοπή (klopē)
κοινός (koinos)
κραυγή (kraugē)
κῶμος (kōmos)
λοίδορος (loidoros)
μαλακός (malakos)
μάχη (machē)
μέθη (methē)
μέθυσος (methysos)
μητρολῴας (mētrolōas)
μοιχεία (moicheia)
μοιχός (moichos)
μωρολογία (mōrologia)
μωρός (mōros)
οἶνος πολύς προσέχω (oinos polys prosechō)
οἰνοφλυγία (oinophlygia)
ὀργή (orgē)
ὀργίλος (orgilos)
ὀφθαλμός πονηρός (ophthalmos ponēros)
πάθος (pathos)
πάροινος (paroinos)
πατρολῴας (patrolōas)
πικρία (pikria)
πλεονέκτης (pleonektēs)
πλεονεξία (pleonexia)
πλήκτης (plēktēs)
πνικτός (pniktos)
πονηρία (ponēria)
πορνεία (porneia)
πόρνος (pornos)
πότος (potos)
στυγητός (stygētos)
τυφόω (typhoō)
ὑβριστής (hybristēs)
ὑπερηφανία (hyperēphania)
ὑπερήφανος (hyperēphanos)
ὑπόκρισις (hypokrisis)
φαρμακεία (pharmakeia)
φάρμακος (pharmakos)
φθόνος (phthonos)
φιλάργυρος (philargyros)
φίλαυτος (philautos)
φονεύς (phoneus)
φόνος (phonos)
φυσίωσις (physiōsis)
ψευδής (pseudēs)
ψεύδομαι (pseudomai)
ψευδομαρτυρία (pseudomartyria)
ψεῦδος (pseudos)
ψεύστης (pseustēs)
ψιθυρισμός (psithyrismos)
ψιθυριστής (psithyristēs)

